Date,RTB 03-10,RTB 03-11,RTB 05-12,RTB 05-13,RTB 05-14,RTB 05-15,RTB 05-16,RTB 10-04,RTB 10-05,RTB 15-01,RTB 15-02,RTB 20-01,RTB 25-01
11/29/2019,,,146.0557349,,,,,75.05547467,70.19422903,120.6613647,113.9549778,114.8679302,97.75518595
12/2/2019,,,148.0820445,,,,,74.23527142,69.67319407,119.7204275,114.720534,116.738626,101.0705374
12/3/2019,,,148.7834558,,,,,74.05936073,70.45845904,119.642235,114.2299197,115.901972,99.66602903
12/4/2019,,,150.6577375,,,,,74.60631971,71.70792497,119.5783113,117.3396467,113.5001789,100.0897981
12/5/2019,,,150.6561055,,,,,74.39334955,71.95331904,122.3785476,116.8751464,112.9545114,102.8128423
12/6/2019,,,151.345977,,,,,75.07734693,72.58732929,122.3445571,116.4193304,111.2845002,101.0664943
12/9/2019,,,153.1731059,,,,,74.95921097,71.37628444,122.6533597,115.1047253,111.6299068,100.564004
12/10/2019,,,154.576423,,,,,74.3318894,72.04496405,122.6779343,114.6843865,111.1369273,94.12420767
12/11/2019,,,156.7250693,,,,,75.4910642,74.52755763,122.7174326,114.2731049,114.7205949,94.09586986
12/12/2019,,,157.1926997,,,,,74.03911788,75.02265244,120.5347749,113.8709572,114.258286,105.1298964
12/13/2019,,,158.061504,,,,,74.93282169,76.16078264,120.6048005,113.4780203,113.806417,101.0236275
12/16/2019,,,160.2541914,,,,,76.27702489,76.97969683,125.2047019,113.0375654,119.7068347,103.3837187
12/17/2019,,,158.8030831,,,,,76.96848511,77.34902669,130.9848669,112.6835606,116.3106829,102.8086188
12/18/2019,,,158.6910734,,,,,76.65077554,79.23477339,131.1285247,113.0314961,115.9210042,100.3828907
12/19/2019,,,157.534121,,,,,76.98144836,81.48103764,126.6100768,111.3182289,113.926643,101.7755212
12/20/2019,,,157.4109434,,,,,75.95446656,79.62507967,126.7876713,114.5048462,112.0669782,102.9553851
12/23/2019,,,156.583309,,,,,74.55436923,80.89533836,127.416928,115.5888108,114.4121852,103.5399369
12/26/2019,,,156.3895407,,,,,74.95343933,79.62100762,128.1937354,114.7855694,115.3717719,107.5860539
12/27/2019,,,156.5818936,,,,,75.45366022,79.18541143,128.4861021,114.6161929,115.0864452,103.4454711
1/2/2020,,,153.7926714,,,,,76.46720175,78.53744357,135.9866882,,114.9245625,106.9279689
1/3/2020,,,152.7655917,,,,,74.90956596,78.49405995,136.3724396,114.2334735,114.7117421,106.4790616
1/6/2020,,,147.97958,,,,,74.04036108,75.30648247,137.6337625,111.6780081,110.1783413,107.2304732
1/7/2020,,,141.3524616,,,,,72.63357309,74.06868888,131.658062,111.5352085,108.2727378,105.2350555
1/8/2020,,,136.1121859,,,,,70.05011755,72.933079,132.1465547,111.4035303,108.1163521,106.532952
